experiment,model,metric,n,run1_mean,run1_std,run2_mean,run2_std,mean_delta,max_abs_seed_delta,changed_seeds,all_equal_at_1e_12
A_author_cleaned_code_grid,KNN,accuracy,10,0.9044117647058825,0.040570944503055976,0.9044117647058825,0.040570944503055976,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,balanced_accuracy,10,0.9037867147670438,0.04080114925413783,0.9037867147670438,0.04080114925413783,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,precision,10,0.8997191327717893,0.04524291942459073,0.8997191327717893,0.04524291942459073,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,recall,10,0.9067737488420601,0.0501979152262145,0.9067737488420601,0.0501979152262145,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,specificity,10,0.9007996806920275,0.045522795478665584,0.9007996806920275,0.045522795478665584,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,f1,10,0.9027294195076332,0.04233013699416353,0.9027294195076332,0.04233013699416353,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,mcc,10,0.8083733540617815,0.08120889348523501,0.8083733540617815,0.08120889348523501,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,roc_auc,10,0.9409771881193354,0.026051197510869616,0.9409771881193354,0.026051197510869616,0.0,0.0,0,True
A_author_cleaned_code_grid,KNN,pr_auc,10,0.9206185239564568,0.03366369371999403,0.9206185239564568,0.03366369371999403,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,accuracy,10,0.9455882352941176,0.031806133720604556,0.9455882352941176,0.031806133720604556,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,balanced_accuracy,10,0.9457682284717484,0.031639803607172626,0.9457682284717484,0.031639803607172626,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,precision,10,0.9446161608053089,0.03906184065282512,0.9446161608053089,0.03906184065282512,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,recall,10,0.9471340159575454,0.03790369068591921,0.9471340159575454,0.03790369068591921,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,specificity,10,0.9444024409859513,0.03970633546903682,0.9444024409859513,0.03970633546903682,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,f1,10,0.9453882383766068,0.03096039506924211,0.9453882383766068,0.03096039506924211,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,mcc,10,0.8916060446546631,0.06379229658918925,0.8916060446546631,0.06379229658918925,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,roc_auc,10,0.9903640592827377,0.008595374800409282,0.9903640592827377,0.008595374800409282,0.0,0.0,0,True
A_author_cleaned_code_grid,LR,pr_auc,10,0.9903216099620364,0.008894399344965711,0.9903216099620364,0.008894399344965711,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,accuracy,10,0.9397058823529412,0.017606161760850964,0.9397058823529412,0.017606161760850964,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,balanced_accuracy,10,0.9400193351656794,0.016557923953522277,0.9400193351656794,0.016557923953522277,0.0,0.0,0,True
