experiment,model,seed,train_size_run1,test_size_run1,training_seconds_run1,inference_seconds_run1,preprocessing_run1,parameters_run1,accuracy_run1,balanced_accuracy_run1,precision_run1,recall_run1,specificity_run1,f1_run1,mcc_run1,roc_auc_run1,pr_auc_run1,tn_run1,fp_run1,fn_run1,tp_run1,author_printed_recall_run1,author_printed_precision_run1,author_printed_balanced_accuracy_run1,author_printed_f1_run1,train_size_run2,test_size_run2,training_seconds_run2,inference_seconds_run2,preprocessing_run2,parameters_run2,accuracy_run2,balanced_accuracy_run2,precision_run2,recall_run2,specificity_run2,f1_run2,mcc_run2,roc_auc_run2,pr_auc_run2,tn_run2,fp_run2,fn_run2,tp_run2,author_printed_recall_run2,author_printed_precision_run2,author_printed_balanced_accuracy_run2,author_printed_f1_run2,accuracy_delta,balanced_accuracy_delta,precision_delta,recall_delta,specificity_delta,f1_delta,mcc_delta,roc_auc_delta,pr_auc_delta
A_author_cleaned_code_grid,LR,0,271,68,0.0044690000004266,0.0001029999993988,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9411764705882352,0.940714908456844,0.945945945945946,0.945945945945946,0.935483870967742,0.945945945945946,0.8814298169136879,0.993025283347864,0.9947034947034944,29,2,2,35,0.935483870967742,0.935483870967742,0.940714908456844,0.935483870967742,271,68,0.0042103750020032,0.0001026669997372,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9411764705882352,0.940714908456844,0.945945945945946,0.945945945945946,0.935483870967742,0.945945945945946,0.8814298169136879,0.993025283347864,0.9947034947034944,29,2,2,35,0.935483870967742,0.935483870967742,0.940714908456844,0.935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,1,271,68,0.0037369580004451,8.670800070831319e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9594594594594594,0.9117647058823528,1.0,0.918918918918919,0.953846153846154,0.9153348228041136,0.992153443766347,0.990337989941914,34,3,0,31,1.0,0.918918918918919,0.9558823529411764,0.9577464788732394,271,68,0.0036416249931789,0.0001002909993985,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9594594594594594,0.9117647058823528,1.0,0.918918918918919,0.953846153846154,0.9153348228041136,0.992153443766347,0.990337989941914,34,3,0,31,1.0,0.918918918918919,0.9558823529411764,0.9577464788732394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,2,271,68,0.0035617500006992,8.416699984081788e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9852941176470588,0.9833333333333334,1.0,0.9666666666666668,1.0,0.9830508474576272,0.9705051993061872,1.0,1.0,38,0,1,29,0.9743589743589745,1.0,0.9871794871794872,0.987012987012987,271,68,0.0034274159988854,9.15829950827174e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9852941176470588,0.9833333333333334,1.0,0.9666666666666668,1.0,0.9830508474576272,0.9705051993061872,1.0,1.0,38,0,1,29,0.9743589743589745,1.0,0.9871794871794872,0.987012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,3,271,68,0.0034549160000096,9.837500056164572e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9558823529411764,0.9696969696969696,0.9411764705882352,0.9705882352941176,0.9552238805970148,0.9121593238215746,0.9948096885813148,0.9950433244550893,33,1,2,32,0.9428571428571428,0.9705882352941176,0.9562770562770564,0.9565217391304348,271,68,0.0030077080009505,0.0001036249959724,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9558823529411764,0.9696969696969696,0.9411764705882352,0.9705882352941176,0.9552238805970148,0.9121593238215746,0.9948096885813148,0.9950433244550893,33,1,2,32,0.9428571428571428,0.9705882352941176,0.9562770562770564,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,4,271,68,0.003194916999746,8.812499982013833e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.9705882352941176,0.9444444444444444,1.0,0.9411764705882352,0.9714285714285714,0.9428090415820634,0.990484429065744,0.989476253875074,32,2,0,34,1.0,0.9411764705882352,0.9722222222222222,0.9696969696969696,271,68,0.0029410839997581,9.39170058700256e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.9705882352941176,0.9444444444444444,1.0,0.9411764705882352,0.9714285714285714,0.9428090415820634,0.990484429065744,0.989476253875074,32,2,0,34,1.0,0.9411764705882352,0.9722222222222222,0.9696969696969696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,5,271,68,0.0030788340000071,8.558399986213772e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.8676470588235294,0.8676470588235294,0.8571428571428571,0.8823529411764706,0.8529411764705882,0.8695652173913043,0.7356123579206246,0.9688581314878892,0.96867260311926,29,5,4,30,0.8787878787878788,0.8529411764705882,0.8679653679653679,0.8656716417910447,271,68,0.0028032500049448,9.241700172424316e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.8676470588235294,0.8676470588235294,0.8571428571428571,0.8823529411764706,0.8529411764705882,0.8695652173913043,0.7356123579206246,0.9688581314878892,0.96867260311926,29,5,4,30,0.8787878787878788,0.8529411764705882,0.8679653679653679,0.8656716417910447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,6,271,68,0.0050323750001552,0.0001023750000967,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9562770562770564,0.9411764705882352,0.9696969696969696,0.9428571428571428,0.9552238805970148,0.9121593238215746,0.9904761904761904,0.9917239623121976,33,2,1,32,0.9705882352941176,0.9428571428571428,0.9558823529411764,0.9565217391304348,271,68,0.0048308750046999,0.0001348750010947,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9562770562770564,0.9411764705882352,0.9696969696969696,0.9428571428571428,0.9552238805970148,0.9121593238215746,0.9904761904761904,0.9917239623121976,33,2,1,32,0.9705882352941176,0.9428571428571428,0.9558823529411764,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,7,271,68,0.0024520829992979,8.566599990444956e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9264705882352942,0.925974025974026,0.9375,0.9090909090909092,0.9428571428571428,0.9230769230769232,0.8530566380408909,0.9844155844155844,0.9827939221790132,33,2,3,30,0.9166666666666666,0.9428571428571428,0.9270833333333331,0.9295774647887324,271,68,0.002318542006833,9.220799984177576e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9264705882352942,0.925974025974026,0.9375,0.9090909090909092,0.9428571428571428,0.9230769230769232,0.8530566380408909,0.9844155844155844,0.9827939221790132,33,2,3,30,0.9166666666666666,0.9428571428571428,0.9270833333333331,0.9295774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,8,271,68,0.0038936249993639,8.737499956623651e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9535087719298244,0.9655172413793104,0.9333333333333332,0.9736842105263158,0.9491525423728814,0.910619216045914,0.9964912280701756,0.995766129032258,37,1,2,28,0.9487179487179488,0.9736842105263158,0.9571175950486296,0.961038961038961,271,68,0.0036825419956585,8.98750004125759e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411764,0.9535087719298244,0.9655172413793104,0.9333333333333332,0.9736842105263158,0.9491525423728814,0.910619216045914,0.9964912280701756,0.995766129032258,37,1,2,28,0.9487179487179488,0.9736842105263158,0.9571175950486296,0.961038961038961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_author_cleaned_code_grid,LR,9,271,68,0.0056335829995077,0.0001262499999938,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9411764705882352,0.9442970822281168,0.972972972972973,0.9230769230769232,0.9655172413793104,0.9473684210526316,0.8823747062899986,0.9929266136162688,0.9946984200020638,28,1,3,36,0.9032258064516128,0.9655172413793104,0.9380993897122928,0.9333333333333332,271,68,0.0058035000038216,0.0001079580033547,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9411764705882352,0.9442970822281168,0.972972972972973,0.9230769230769232,0.9655172413793104,0.9473684210526316,0.8823747062899986,0.9929266136162688,0.9946984200020638,28,1,3,36,0.9032258064516128,0.9655172413793104,0.9380993897122928,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
