experiment,model,metric,n,run1_mean,run1_std,run2_mean,run2_std,mean_delta,max_abs_seed_delta,changed_seeds,all_equal_at_1e_12,paper_mean,paper_std,run2_minus_paper,absolute_difference_from_paper
C_independent_ESM_CleanLab_code_grid,SVM,mcc,10,0.9053184308942821,0.03948058002580043,0.9053184308942821,0.03948058002580043,0.0,0.0,0,True,0.927,0.044,-0.021681569105717946,0.021681569105717946
D_author_LSTM_split42_harness_seed0,LSTM,balanced_accuracy,1,0.9268398268398268,,0.9268398268398268,,0.0,0.0,0,True,0.964,0.016,-0.03716017316017317,0.03716017316017317
D_author_LSTM_split42_harness_seed0,LSTM,precision,1,0.9411764705882352,,0.9411764705882352,,0.0,0.0,0,True,0.96,0.039,-0.018823529411764794,0.018823529411764794
D_author_LSTM_split42_harness_seed0,LSTM,recall,1,0.9142857142857144,,0.9142857142857144,,0.0,0.0,0,True,0.96,0.037,-0.045714285714285596,0.045714285714285596
D_author_LSTM_split42_harness_seed0,LSTM,mcc,1,0.8533103351879247,,0.8533103351879247,,0.0,0.0,0,True,0.924,0.029,-0.07068966481207539,0.07068966481207539
E_independent_LSTM_10_splits,LSTM,balanced_accuracy,10,0.9450399645920813,0.030594925287852057,0.9450399645920813,0.030594925287852057,0.0,0.0,0,True,0.964,0.016,-0.018960035407918685,0.018960035407918685
E_independent_LSTM_10_splits,LSTM,precision,10,0.9479569942011892,0.043217749322993326,0.9479569942011892,0.043217749322993326,0.0,0.0,0,True,0.96,0.039,-0.01204300579881079,0.01204300579881079
E_independent_LSTM_10_splits,LSTM,recall,10,0.9432465056184223,0.0325640552975305,0.9432465056184223,0.0325640552975305,0.0,0.0,0,True,0.96,0.037,-0.016753494381577694,0.016753494381577694
E_independent_LSTM_10_splits,LSTM,mcc,10,0.8914438965320934,0.062443013868243795,0.8914438965320934,0.062443013868243795,0.0,0.0,0,True,0.924,0.029,-0.032556103467906605,0.032556103467906605
F_TableS2_fixed_parameters,KNN,balanced_accuracy,10,0.9112320249243286,0.029244767930155652,0.9112320249243286,0.029244767930155652,0.0,0.0,0,True,0.903,0.306,0.008232024924328618,0.008232024924328618
