stage,paper_total,paper_positive,paper_negative,repository_file,actual_total,actual_positive,actual_negative
raw,420,210,210,Database/Oringinal_data.xlsx,420,210,210
cleaned,339,161,178,Database/X_320_clean_LR.csv + Database/y_after_clean.csv,339,161,178
