length,count
2,32
3,37
4,45
5,40
6,58
7,15
8,27
9,17
10,12
11,21
12,6
13,5
14,4
15,4
16,3
17,1
18,1
20,2
21,2
23,1
27,1
31,1
32,1
41,1
58,1
80,1
