mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.002674984931945801,0.00016863230143013145,0.00043363571166992186,8.342904862016919e-05,0.001,1,linear,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'linear', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.002652406692504883,0.00017410953208378413,0.00038137435913085935,3.687915426703497e-05,0.001,1,poly,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0029578208923339844,0.00014850844307510367,0.0007276773452758789,0.00019581407892588665,0.001,1,rbf,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'rbf', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0029772043228149412,0.0002548165763838888,0.00041117668151855467,3.425191375098581e-05,0.001,1,sigmoid,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'sigmoid', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.002673792839050293,0.0001910214669925205,0.0003582954406738281,2.3683210878814187e-05,0.001,3,linear,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'linear', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0026886463165283203,0.00011655679370273934,0.00036962032318115233,3.762227802937542e-05,0.001,3,poly,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'poly', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0029999732971191405,0.0001264999103245869,0.0006708145141601562,4.02508467083608e-05,0.001,3,rbf,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'rbf', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0029759645462036134,4.227847158251289e-05,0.000428009033203125,3.930954837261836e-05,0.001,3,sigmoid,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'sigmoid', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0026071786880493162,6.167055456379152e-05,0.00036580562591552733,2.2141642187089767e-05,0.001,5,linear,1e-05,"{'C': 0.001, 'degree': 5, 'kernel': 'linear', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0027403831481933594,6.940962291674801e-05,0.00038144588470458987,3.495096833031185e-05,0.001,5,poly,1e-05,"{'C': 0.001, 'degree': 5, 'kernel': 'poly', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0029327869415283203,0.00011402596305909506,0.0006547212600708008,2.655975480471446e-05,0.001,5,rbf,1e-05,"{'C': 0.001, 'degree': 5, 'kernel': 'rbf', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.002946019172668457,9.666520975443947e-05,0.00040564537048339846,3.6861116144935444e-05,0.001,5,sigmoid,1e-05,"{'C': 0.001, 'degree': 5, 'kernel': 'sigmoid', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.002512502670288086,7.657615799010381e-05,0.0003254175186157227,1.689055554108037e-05,0.001,7,linear,1e-05,"{'C': 0.001, 'degree': 7, 'kernel': 'linear', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
0.0026700735092163087,0.00011128456051688615,0.0003574132919311523,2.4028630630160692e-05,0.001,7,poly,1e-05,"{'C': 0.001, 'degree': 7, 'kernel': 'poly', 'tol': 1e-05}",0.5357142857142857,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5313492063492063,0.01662725246339269,200
