experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision,author_printed_balanced_accuracy,author_printed_f1
C_independent_ESM_CleanLab_code_grid,SVM,0,282,71,0.002094625000609085,0.000816166000731755,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.971830985915493,0.9714285714285714,0.9473684210526315,1.0,0.9428571428571428,0.972972972972973,0.9451100902576202,0.9968253968253968,0.9968670000532746,33,2,0,36,1.0,0.9428571428571428,0.9736842105263157,0.9705882352941176
C_independent_ESM_CleanLab_code_grid,SVM,1,282,71,0.0017917919976753183,0.0006457909985329024,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9295774647887324,0.9300476947535772,0.9142857142857143,0.9411764705882353,0.918918918918919,0.927536231884058,0.8594125030243371,0.9817170111287759,0.9813186022481953,34,3,2,32,0.9444444444444444,0.918918918918919,0.9293650793650794,0.9315068493150684
C_independent_ESM_CleanLab_code_grid,SVM,2,282,71,0.0018734159966697916,0.000709250001818873,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9577464788732394,0.9588709677419355,0.9743589743589743,0.95,0.967741935483871,0.9620253164556962,0.9147957258407707,0.9951612903225806,0.9965972222222224,30,1,2,38,0.9375,0.967741935483871,0.9559294871794872,0.9523809523809523
C_independent_ESM_CleanLab_code_grid,SVM,3,282,71,0.001985124996281229,0.0007036250026430935,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9436619718309859,0.9472591362126246,0.9,0.9642857142857143,0.9302325581395349,0.9310344827586207,0.8850135176047221,0.9941860465116279,0.9915297042064878,40,3,1,27,0.975609756097561,0.9302325581395349,0.9378048780487804,0.9523809523809523
C_independent_ESM_CleanLab_code_grid,SVM,4,282,71,0.0018970000019180588,0.0006805830053053796,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9436619718309859,0.9393939393939394,0.9047619047619048,1.0,0.8787878787878788,0.95,0.8916803211318477,0.9992025518341308,0.9993252361673411,29,4,0,38,1.0,0.8787878787878788,0.9523809523809523,0.9354838709677419
C_independent_ESM_CleanLab_code_grid,SVM,5,282,71,0.0017967499952646904,0.0006797919995733537,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9577464788732394,0.9559294871794872,0.967741935483871,0.9375,0.9743589743589743,0.9523809523809523,0.9147957258407707,0.9951923076923077,0.9938330789847666,38,1,2,30,0.95,0.9743589743589743,0.9588709677419355,0.9620253164556962
C_independent_ESM_CleanLab_code_grid,SVM,6,282,71,0.0017630000002100132,0.0006802919961046427,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9577464788732394,0.9605263157894737,0.9166666666666666,1.0,0.9210526315789473,0.9565217391304348,0.9188570321949086,0.992822966507177,0.9918680508727082,35,3,0,33,1.0,0.9210526315789473,0.9583333333333333,0.958904109589041
C_independent_ESM_CleanLab_code_grid,SVM,7,282,71,0.0018168749957112595,0.000632957999187056,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9154929577464789,0.9213709677419355,0.8571428571428571,0.967741935483871,0.875,0.9090909090909091,0.8360267532841645,0.9943548387096774,0.9934038617181175,35,5,1,30,0.9722222222222222,0.875,0.9146825396825397,0.9210526315789473
C_independent_ESM_CleanLab_code_grid,SVM,8,282,71,0.0017857499988167547,0.0006992499984335154,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9577464788732394,0.9587339743589743,0.9393939393939394,0.96875,0.9487179487179487,0.9538461538461539,0.9152704175414588,0.9935897435897436,0.9921014772531649,37,2,1,31,0.9736842105263158,0.9487179487179487,0.9565390749601277,0.961038961038961
C_independent_ESM_CleanLab_code_grid,SVM,9,282,71,0.0018018750051851384,0.0006584580041817389,none,"{""C"": 5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 7, ""gamma"": ""scale"", ""kernel"": ""poly"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 1e-05, ""verbose"": false}",0.9859154929577465,0.9861111111111112,1.0,0.9722222222222222,1.0,0.9859154929577465,0.9722222222222222,0.9992063492063492,0.9992492492492493,35,0,1,35,0.9722222222222222,1.0,0.9861111111111112,0.9859154929577465
