mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0029723405838012694,0.0007943010730386493,0.00015099048614501952,1.749903042563677e-05,0.5,{'C': 0.5},0.9642857142857143,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.8888888888888888,1.0,0.9259259259259259,0.9259259259259259,0.9260582010582011,0.04393625593764069,27
0.0037255287170410156,0.0010836557656619822,0.00019211769104003905,7.281342439478164e-05,1.0,{'C': 1},0.9642857142857143,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9371693121693122,0.029047872031743055,25
0.0027875900268554688,0.00043016946577523657,0.0001324892044067383,1.8222745477431683e-05,1.5,{'C': 1.5},0.9642857142857143,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9259259259259259,0.9629629629629629,0.940873015873016,0.029731318792686867,10
0.003290081024169922,0.0007433947436944706,0.00017096996307373047,6.508551668615797e-05,2.0,{'C': 2},0.9642857142857143,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9259259259259259,0.9629629629629629,0.940873015873016,0.029731318792686867,10
0.0035576820373535156,0.0013875585154386957,0.00016884803771972657,6.028934126844086e-05,2.5,{'C': 2.5},0.9642857142857143,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.940873015873016,0.024690137598964577,10
0.003758072853088379,0.0008612285877919114,0.00013723373413085938,2.025132519450794e-05,4.0,{'C': 4},0.9642857142857143,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.940873015873016,0.024690137598964577,10
0.004214096069335938,0.0011683699138649835,0.00015370845794677735,6.540487389743509e-05,6.0,{'C': 6},0.9642857142857143,0.9629629629629629,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.9445767195767196,0.02494675329548922,1
0.0031699180603027345,0.0007587999324045132,0.00013551712036132812,3.864679123793148e-05,8.0,{'C': 8},0.9642857142857143,0.9629629629629629,0.9259259259259259,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.940873015873016,0.024690137598964577,10
0.002248239517211914,0.0006558437653857264,0.00014379024505615235,5.230454262146516e-05,13.0,{'C': 13},0.9642857142857143,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.9445767195767196,0.018654545759396856,1
0.0024384975433349608,0.0004410271980215875,0.0001555919647216797,5.38196026672383e-05,14.0,{'C': 14},0.9642857142857143,0.9629629629629629,0.8888888888888888,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.940873015873016,0.024690137598964577,10
0.002067828178405762,0.0003563429710046417,0.00012345314025878905,1.1002339345303904e-05,15.0,{'C': 15},0.9642857142857143,0.9629629629629629,0.8888888888888888,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.940873015873016,0.024690137598964577,10
