mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.040321969985961915,0.007675846162547583,0.014336061477661134,0.001793045462227246,1,log2,80,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 80}",0.8571428571428571,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7777777777777778,0.8412698412698413,0.03741305720563742,70
0.0641674518585205,0.003901330407731337,0.014194560050964356,0.002134539800632509,1,log2,160,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 160}",0.8214285714285714,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8518518518518519,0.9259259259259259,0.8518518518518519,0.8784391534391534,0.03212107607874696,59
0.1164057970046997,0.005953143229756628,0.014144253730773926,0.0016786649233819805,1,log2,320,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 320}",0.7857142857142857,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8637566137566137,0.03911856733937979,67
0.1669534683227539,0.0033719420697500674,0.01456594467163086,0.0018013181649136848,1,log2,480,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 480}",0.8214285714285714,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8673280423280423,0.032978978588649385,65
0.21996564865112306,0.005245847234878205,0.02077438831329346,0.006682318166536747,1,log2,640,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 640}",0.8214285714285714,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8148148148148148,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8636243386243386,0.03242467955661648,68
0.4354897975921631,0.006976436686041625,0.035390377044677734,0.006735046956565965,1,log2,1280,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 1280}",0.8214285714285714,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.8518518518518519,0.8747354497354497,0.03677177305081793,62
0.6992995738983154,0.014439222350873165,0.051806092262268066,0.00597164823856713,1,log2,2000,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 2000}",0.8214285714285714,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8673280423280424,0.036904761904761905,64
0.033724522590637206,0.0016070143652225101,0.014573359489440918,0.0013836299914341522,1,sqrt,80,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 80}",0.7857142857142857,0.8148148148148148,0.8518518518518519,0.8518518518518519,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8518518518518519,0.8526455026455027,0.0354941284069287,69
0.06479122638702392,0.0020736120585323173,0.014585161209106445,0.0013941564900335753,1,sqrt,160,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 160}",0.8214285714285714,0.9259259259259259,0.8148148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.8148148148148148,0.8673280423280423,0.04371107750033518,65
0.12291250228881836,0.006347074891110243,0.015221524238586425,0.0011638878682001669,1,sqrt,320,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 320}",0.8571428571428571,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8820105820105819,0.03183848970017012,57
0.18667640686035156,0.008153065597576692,0.01431727409362793,0.0015918606666327202,1,sqrt,480,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 480}",0.8928571428571429,0.9259259259259259,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.8892857142857145,0.037056164750860876,54
0.24231982231140137,0.010244551565169775,0.021975064277648927,0.006541016431155788,1,sqrt,640,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 640}",0.8571428571428571,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8148148148148148,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8820105820105819,0.03952703216004183,57
0.48663153648376467,0.005325288734505854,0.03248209953308105,0.004690685997224366,1,sqrt,1280,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 1280}",0.8571428571428571,0.9259259259259259,0.8148148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.8783068783068784,0.036885555678165885,60
0.7487890481948852,0.004428789350677995,0.05437843799591065,0.003265405871034945,1,sqrt,2000,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 2000}",0.8214285714285714,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.8747354497354497,0.036771773050817934,62
0.03350210189819336,0.003496605569711706,0.014251184463500977,0.0013957664037151669,2,log2,80,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 80}",0.8571428571428571,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8894179894179894,0.03653859612829534,52
0.06662218570709229,0.0021049083118981913,0.014745092391967774,0.001084443232345687,2,log2,160,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 160}",0.9285714285714286,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.8518518518518519,0.889153439153439,0.03730909151879376,55
