import time: self [us] | cumulative | imported package
import time:        56 |         56 |                           scipy.optimize._trustregion_ncg
import time:      1113 |       1113 |                               scipy.optimize._trlib._trlib
import time:        58 |       1170 |                             scipy.optimize._trlib
import time:        63 |       1233 |                           scipy.optimize._trustregion_krylov
import time:        80 |         80 |                           scipy.optimize._trustregion_exact
import time:        95 |         95 |                               scipy.optimize._constraints
import time:        48 |         48 |                                     sksparse
import time:        15 |         63 |                                   sksparse.cholmod
import time:        77 |        139 |                                 scipy.optimize._trustregion_constr.projections
import time:        65 |         65 |                                 scipy.optimize._trustregion_constr.qp_subproblem
import time:        81 |        284 |                               scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:        77 |         77 |                               scipy.optimize._trustregion_constr.canonical_constraint
import time:       108 |        108 |                               scipy.optimize._trustregion_constr.tr_interior_point
import time:        65 |         65 |                               scipy.optimize._trustregion_constr.report
import time:       168 |        794 |                             scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:        54 |        848 |                           scipy.optimize._trustregion_constr
import time:       992 |        992 |                             scipy.optimize._lbfgsb
import time:        91 |       1082 |                           scipy.optimize._lbfgsb_py
import time:       982 |        982 |                             scipy.optimize._moduleTNC
import time:        81 |       1063 |                           scipy.optimize._tnc
import time:      1010 |       1010 |                             scipy.optimize._cobyla
import time:        92 |       1102 |                           scipy.optimize._cobyla_py
import time:        53 |         53 |                           scipy.optimize._cobyqa_py
import time:      1045 |       1045 |                             scipy.optimize._slsqp
import time:        97 |       1142 |                           scipy.optimize._slsqp_py
import time:       214 |       7044 |                         scipy.optimize._minimize
import time:       966 |        966 |                             scipy.optimize._minpack
import time:       142 |        142 |                                   scipy.optimize._lsq.common
import time:        91 |        232 |                                 scipy.optimize._lsq.trf
import time:        66 |         66 |                                 scipy.optimize._lsq.dogbox
import time:       146 |        443 |                               scipy.optimize._lsq.least_squares
import time:      1056 |       1056 |                                   scipy.optimize._lsq.givens_elimination
import time:        72 |       1128 |                                 scipy.optimize._lsq.trf_linear
import time:       317 |        317 |                                 scipy.optimize._lsq.bvls
import time:        89 |       1532 |                               scipy.optimize._lsq.lsq_linear
import time:        76 |       2051 |                             scipy.optimize._lsq
import time:       134 |       3150 |                           scipy.optimize._minpack_py
import time:        95 |         95 |                           scipy.optimize._spectral
import time:       710 |        710 |                           scipy.optimize._nonlin
import time:       101 |       4054 |                         scipy.optimize._root
import time:       957 |        957 |                             scipy.optimize._zeros
import time:       134 |       1090 |                           scipy.optimize._zeros_py
import time:        90 |       1180 |                         scipy.optimize._root_scalar
import time:        53 |         53 |                         scipy.optimize._nnls
import time:       104 |        104 |                         scipy.optimize._basinhopping
import time:        42 |         42 |                               scipy.optimize._highs
import time:      1339 |       1381 |                             scipy.optimize._highs._highs_wrapper
import time:      1023 |       1023 |                             scipy.optimize._highs._highs_constants
import time:        93 |       2496 |                           scipy.optimize._linprog_highs
import time:      1100 |       1100 |                                     scipy.linalg._interpolative
import time:       107 |       1207 |                                   scipy.linalg._interpolative_backend
import time:       129 |       1335 |                                 scipy.linalg.interpolative
import time:        81 |       1415 |                               scipy.optimize._remove_redundancy
import time:       171 |       1586 |                             scipy.optimize._linprog_util
import time:        42 |         42 |                             sksparse
import time:        31 |         31 |                               scikits
import time:        16 |         47 |                             scikits.umfpack
import time:       132 |       1806 |                           scipy.optimize._linprog_ip
import time:        69 |         69 |                           scipy.optimize._linprog_simplex
import time:      1139 |       1139 |                             scipy.optimize._bglu_dense
import time:        82 |       1221 |                           scipy.optimize._linprog_rs
import time:        61 |         61 |                           scipy.optimize._linprog_doc
import time:       116 |       5767 |                         scipy.optimize._linprog
import time:      1022 |       1022 |                         scipy.optimize._lsap
import time:       185 |        185 |                         scipy.optimize._differentialevolution
import time:      2287 |       2287 |                           scipy.optimize._pava_pybind
import time:       104 |       2390 |                         scipy.optimize._isotonic
import time:       119 |        119 |                             scipy.optimize._shgo_lib
import time:       320 |        320 |                             scipy.optimize._shgo_lib._vertex
import time:       360 |        798 |                           scipy.optimize._shgo_lib._complex
import time:       445 |       1242 |                         scipy.optimize._shgo
import time:       313 |        313 |                         scipy.optimize._dual_annealing
import time:       161 |        161 |                         scipy.optimize._qap
import time:      2101 |       2101 |                           scipy.optimize._direct
import time:       149 |       2250 |                         scipy.optimize._direct_py
import time:       162 |        162 |                         scipy.optimize._milp
import time:        97 |         97 |                         scipy.optimize.cobyla
import time:        87 |         87 |                         scipy.optimize.lbfgsb
import time:        86 |         86 |                         scipy.optimize.linesearch
import time:        86 |         86 |                         scipy.optimize.minpack
import time:        81 |         81 |                         scipy.optimize.minpack2
import time:        78 |         78 |                         scipy.optimize.moduleTNC
import time:        81 |         81 |                         scipy.optimize.nonlin
import time:        85 |         85 |                         scipy.optimize.optimize
import time:        79 |         79 |                         scipy.optimize.slsqp
import time:       106 |        106 |                         scipy.optimize.tnc
import time:        58 |         58 |                         scipy.optimize.zeros
import time:       421 |      29203 |                       scipy.optimize
import time:       199 |        199 |                           scipy._lib.doccer
import time:       171 |        171 |                           scipy.stats._distr_params
import time:       499 |        499 |                           scipy.integrate._quadrature
import time:      2920 |       2920 |                             scipy.integrate._odepack
import time:       161 |       3080 |                           scipy.integrate._odepack_py
import time:      4054 |       4054 |                             scipy.integrate._quadpack
import time:       282 |       4336 |                           scipy.integrate._quadpack_py
import time:      1158 |       1158 |                             scipy.integrate._vode
import time:      1124 |       1124 |                             scipy.integrate._dop
import time:      1167 |       1167 |                             scipy.integrate._lsoda
import time:       255 |       3702 |                           scipy.integrate._ode
import time:       133 |        133 |                           scipy.integrate._bvp
import time:       104 |        104 |                                 scipy.integrate._ivp.common
import time:        92 |         92 |                                 scipy.integrate._ivp.base
import time:       153 |        348 |                               scipy.integrate._ivp.bdf
import time:       141 |        141 |                               scipy.integrate._ivp.radau
import time:        68 |         68 |                                 scipy.integrate._ivp.dop853_coefficients
import time:       158 |        226 |                               scipy.integrate._ivp.rk
import time:        91 |         91 |                               scipy.integrate._ivp.lsoda
import time:       495 |       1298 |                             scipy.integrate._ivp.ivp
import time:        74 |       1372 |                           scipy.integrate._ivp
import time:       134 |        134 |                           scipy.integrate._quad_vec
import time:        46 |         46 |                           scipy.integrate.dop
import time:        40 |         40 |                           scipy.integrate.lsoda
import time:        41 |         41 |                           scipy.integrate.vode
import time:        40 |         40 |                           scipy.integrate.odepack
import time:        39 |         39 |                           scipy.integrate.quadpack
import time:        56 |         56 |                           scipy._lib._finite_differences
import time:        57 |         57 |                           scipy.stats._constants
import time:        71 |         71 |                           scipy.stats._censored_data
import time:      1292 |      15298 |                         scipy.stats._distn_infrastructure
import time:      2259 |       2259 |                                   scipy.interpolate._fitpack
import time:      2287 |       2287 |                                   scipy.interpolate._dfitpack
import time:       298 |       4843 |                                 scipy.interpolate._fitpack_impl
import time:       113 |        113 |                                     backports_abc
import time:      2719 |       2832 |                                   scipy.interpolate._bspl
import time:       405 |       3237 |                                 scipy.interpolate._bsplines
import time:       168 |       8246 |                               scipy.interpolate._fitpack_py
import time:       254 |        254 |                               scipy.interpolate._polyint
import time:      2673 |       2673 |                               scipy.interpolate._ppoly
import time:      2637 |       2637 |                               scipy.interpolate.interpnd
import time:       631 |      14439 |                             scipy.interpolate._interpolate
import time:       526 |        526 |                             scipy.interpolate._fitpack2
import time:       170 |        170 |                             scipy.interpolate._rbf
import time:      1800 |       1800 |                               scipy.interpolate._rbfinterp_pythran
import time:       174 |       1973 |                             scipy.interpolate._rbfinterp
import time:       170 |        170 |                             scipy.interpolate._cubic
import time:        67 |         67 |                             scipy.interpolate._ndgriddata
import time:        45 |         45 |                             scipy.interpolate._pade
import time:      1318 |       1318 |                               scipy.interpolate._rgi_cython
import time:        93 |         93 |                               scipy.interpolate._ndbspline
import time:       123 |       1533 |                             scipy.interpolate._rgi
import time:        48 |         48 |                             scipy.interpolate.fitpack
import time:        89 |         89 |                             scipy.interpolate.fitpack2
import time:        42 |         42 |                             scipy.interpolate.interpolate
import time:        39 |         39 |                             scipy.interpolate.ndgriddata
import time:        40 |         40 |                             scipy.interpolate.polyint
import time:        40 |         40 |                             scipy.interpolate.rbf
import time:       435 |      19650 |                           scipy.interpolate
import time:      3155 |       3155 |                             scipy.special.cython_special
import time:      2551 |       5705 |                           scipy.stats._stats
import time:       239 |        239 |                           scipy.stats._tukeylambda_stats
import time:       199 |        199 |                           scipy.stats._ksstats
import time:     21463 |      47254 |                         scipy.stats._continuous_distns
import time:      1453 |       1453 |                           scipy.stats._biasedurn
import time:      3977 |       5429 |                         scipy.stats._discrete_distns
import time:      1499 |       1499 |                           scipy.stats._levy_stable.levyst
import time:       741 |       2239 |                         scipy.stats._levy_stable
import time:       518 |        518 |                             scipy._lib._docscrape
import time:       129 |        647 |                           scipy.stats._axis_nan_policy
import time:       545 |       1191 |                         scipy.stats._entropy
import time:       245 |      71654 |                       scipy.stats.distributions
import time:        63 |         63 |                         scipy._lib._bunch
import time:      1311 |       1311 |                           scipy.stats._stats_pythran
import time:       265 |       1576 |                         scipy.stats._stats_mstats_common
import time:       651 |       2290 |                       scipy.stats._mstats_basic
import time:        64 |         64 |                         scipy.stats._common
import time:        38 |         38 |                               uarray
import time:      1311 |       1311 |                                   scipy._lib._uarray._uarray
import time:       153 |       1464 |                                 scipy._lib._uarray._backend
import time:        50 |       1513 |                               scipy._lib._uarray
import time:        51 |       1602 |                             scipy._lib.uarray
import time:       275 |       1877 |                           scipy.fft._basic
import time:       117 |        117 |                           scipy.fft._realtransforms
import time:        60 |         60 |                             scipy.fft._fftlog_backend
import time:        63 |        123 |                           scipy.fft._fftlog
import time:      1381 |       1381 |                                 scipy.fft._pocketfft.pypocketfft
import time:        76 |         76 |                                 scipy.fft._pocketfft.helper
import time:       100 |       1557 |                               scipy.fft._pocketfft.basic
import time:        53 |         53 |                               scipy.fft._pocketfft.realtransforms
import time:        54 |       1662 |                             scipy.fft._pocketfft
import time:        72 |       1734 |                           scipy.fft._helper
import time:        56 |         56 |                             scipy.fft._basic_backend
import time:        55 |         55 |                             scipy.fft._realtransforms_backend
import time:        74 |        185 |                           scipy.fft._backend
import time:        88 |       4121 |                         scipy.fft
import time:      1096 |       5279 |                       scipy.stats._hypotests
import time:       923 |        923 |                       scipy.stats._resampling
import time:        98 |         98 |                       scipy.stats._binomtest
import time:     12132 |     138300 |                     scipy.stats._stats_py
import time:       294 |        294 |                     scipy.stats._variation
import time:      1596 |       1596 |                       scipy.stats._ansari_swilk_statistics
import time:       131 |        131 |                       scipy.stats._wilcoxon
import time:       243 |        243 |                       scipy.stats._fit
import time:       216 |        216 |                         scipy.stats._relative_risk
import time:       136 |        136 |                         scipy.stats._crosstab
import time:        74 |         74 |                         scipy.stats._odds_ratio
import time:       155 |        579 |                       scipy.stats.contingency
import time:      2991 |       5538 |                     scipy.stats._morestats
import time:       185 |        185 |                               importlib.resources.abc
import time:       337 |        337 |                               importlib.resources._adapters
import time:       298 |        819 |                             importlib.resources._common
import time:       227 |        227 |                             importlib.resources._legacy
import time:        84 |       1129 |                           importlib.resources
import time:      1381 |       2509 |                         scipy.stats._sobol
import time:      1611 |       1611 |                         scipy.stats._qmc_cy
import time:       309 |       4427 |                       scipy.stats._qmc
import time:       371 |       4798 |                     scipy.stats._multicomp
import time:       181 |        181 |                     scipy.stats._binned_statistic
import time:      1384 |       1384 |                       scipy.stats._mvn
import time:       115 |       1498 |                     scipy.stats._kde
import time:        93 |         93 |                       scipy.stats._mstats_extras
import time:        69 |        161 |                     scipy.stats.mstats
import time:        45 |         45 |                     scipy.stats.qmc
import time:       114 |        114 |                       scipy.stats._covariance
import time:      1466 |       1466 |                         scipy.stats._rcont.rcont
import time:        56 |       1521 |                       scipy.stats._rcont
import time:        92 |         92 |                       scipy.stats._qmvnt
import time:      1275 |       3001 |                     scipy.stats._multivariate
import time:        45 |         45 |                             scipy.stats._unuran
import time:      1613 |       1658 |                           scipy.stats._unuran.unuran_wrapper
import time:       194 |       1852 |                         scipy.stats._sampling
import time:        51 |       1902 |                       scipy.stats.sampling
import time:        53 |       1954 |                     scipy.stats._rvs_sampling
import time:       245 |        245 |                     scipy.stats._page_trend_test
import time:       491 |        491 |                     scipy.stats._mannwhitneyu
import time:        65 |         65 |                     scipy.stats._bws_test
import time:       436 |        436 |                     scipy.stats._sensitivity_analysis
import time:       376 |        376 |                     scipy.stats._survival
import time:        52 |         52 |                           scipy.ndimage._ni_support
import time:      1321 |       1321 |                           scipy.ndimage._nd_image
import time:        81 |         81 |                           scipy.ndimage._ni_docstrings
import time:       780 |       2232 |                         scipy.ndimage._filters
import time:        60 |         60 |                         scipy.ndimage._fourier
import time:       315 |        315 |                         scipy.ndimage._interpolation
import time:      1418 |       1418 |                           scipy.ndimage._ni_label
import time:       113 |        113 |                           scipy.ndimage._morphology
import time:       114 |       1645 |                         scipy.ndimage._measurements
import time:        44 |         44 |                         scipy.ndimage.filters
import time:        38 |         38 |                         scipy.ndimage.fourier
import time:        38 |         38 |                         scipy.ndimage.interpolation
import time:        38 |         38 |                         scipy.ndimage.measurements
import time:        40 |         40 |                         scipy.ndimage.morphology
import time:       111 |       4556 |                       scipy.ndimage
import time:       182 |       4737 |                     scipy.stats._mgc
import time:        43 |         43 |                     scipy.stats.biasedurn
import time:        37 |         37 |                     scipy.stats.kde
import time:        75 |         75 |                     scipy.stats.morestats
import time:        43 |         43 |                     scipy.stats.mstats_basic
import time:        37 |         37 |                     scipy.stats.mstats_extras
import time:        35 |         35 |                     scipy.stats.mvn
import time:        41 |         41 |                     scipy.stats.stats
import time:       320 |     162999 |                   scipy.stats
import time:       107 |        107 |                       pytz.exceptions
import time:       230 |        230 |                       pytz.lazy
import time:       127 |        127 |                       pytz.tzinfo
import time:        61 |         61 |                       pytz.tzfile
import time:       687 |       1211 |                     pytz
import time:        86 |         86 |                       dateutil._version
import time:        89 |        175 |                     dateutil
import time:        76 |         76 |                       pandas.compat._constants
import time:        69 |         69 |                       pandas.compat.compressors
import time:        46 |         46 |                           pandas.util
import time:       309 |        354 |                         pandas.util.version
import time:        88 |        442 |                       pandas.compat.numpy
import time:        35 |         35 |                         pyarrow
import time:        57 |         91 |                       pandas.compat.pyarrow
import time:       127 |        803 |                     pandas.compat
import time:       908 |        908 |                         pandas._typing
import time:        70 |         70 |                         pandas.util._exceptions
import time:       321 |       1298 |                       pandas._config.config
import time:       106 |        106 |                       pandas._config.dates
import time:        60 |         60 |                       pandas._config.display
import time:        73 |       1537 |                     pandas._config
import time:        47 |         47 |                       pandas.core
import time:       351 |        398 |                     pandas.core.config_init
import time:      1475 |       1475 |                         pandas._libs.pandas_parser
import time:      1318 |       1318 |                         pandas._libs.pandas_datetime
import time:      1420 |       1420 |                                     pandas._libs.tslibs.ccalendar
import time:      1522 |       1522 |                                     pandas._libs.tslibs.np_datetime
import time:      1700 |       4641 |                                   pandas._libs.tslibs.dtypes
import time:      1545 |       1545 |                                     pandas._libs.tslibs.base
import time:      1550 |       1550 |                                         pandas._libs.tslibs.nattype
import time:        96 |         96 |                                             pandas.compat._optional
import time:       121 |        121 |                                               zoneinfo._tzpath
import time:        70 |         70 |                                               zoneinfo._common
import time:        29 |         29 |                                               _zoneinfo
import time:       100 |        319 |                                             zoneinfo
import time:       371 |        371 |                                                 six
import time:        15 |         15 |                                                 six.moves
import time:        96 |         96 |                                                 dateutil.tz._common
import time:        78 |         78 |                                                 dateutil.tz._factories
import time:         8 |          8 |                                                   six.moves.winreg
import time:        84 |         92 |                                                 dateutil.tz.win
import time:       307 |        956 |                                               dateutil.tz.tz
import time:        65 |       1021 |                                             dateutil.tz
import time:      1634 |       3068 |                                           pandas._libs.tslibs.timezones
import time:       342 |        342 |                                               calendar
import time:      4006 |       4348 |                                             _strptime
import time:        99 |         99 |                                             pandas._config.localization
import time:      1793 |       6238 |                                           pandas._libs.tslibs.fields
import time:      1846 |      11152 |                                         pandas._libs.tslibs.timedeltas
import time:      1734 |       1734 |                                         pandas._libs.tslibs.tzconversion
import time:        43 |         43 |                                         backports_abc
import time:      1862 |      16338 |                                       pandas._libs.tslibs.timestamps
import time:        34 |         34 |                                       backports_abc
import time:      1550 |       1550 |                                       pandas._libs.properties
import time:      1994 |      19915 |                                     pandas._libs.tslibs.offsets
import time:        51 |         51 |                                       backports_abc
import time:        54 |         54 |                                           dateutil._common
import time:       474 |        527 |                                         dateutil.parser._parser
import time:       114 |        114 |                                         dateutil.parser.isoparser
import time:       442 |       1083 |                                       dateutil.parser
import time:      5162 |       5162 |                                       pandas._libs.tslibs.strptime
import time:      1813 |       8107 |                                     pandas._libs.tslibs.parsing
import time:      1904 |      31470 |                                   pandas._libs.tslibs.conversion
import time:      1713 |       1713 |                                   pandas._libs.tslibs.period
import time:      1825 |       1825 |                                   pandas._libs.tslibs.vectorized
import time:       130 |      39778 |                                 pandas._libs.tslibs
import time:        13 |      39791 |                               pandas._libs.tslibs.nattype
import time:      1647 |       1647 |                               pandas._libs.ops_dispatch
import time:      1505 |      42941 |                             pandas._libs.missing
import time:      1707 |      44648 |                           pandas._libs.hashtable
import time:      1776 |       1776 |                           pandas._libs.algos
import time:      1537 |      47960 |                         pandas._libs.interval
import time:        69 |      50820 |                       pandas._libs
import time:        80 |         80 |                         pandas.core.dtypes
import time:        55 |         55 |                           pyarrow
import time:      1847 |       1901 |                         pandas._libs.lib
import time:       263 |        263 |                         pandas.errors
import time:       166 |        166 |                           pandas.core.dtypes.generic
import time:       114 |        280 |                         pandas.core.dtypes.base
import time:        66 |         66 |                         pandas.core.dtypes.inference
import time:       559 |       3147 |                       pandas.core.dtypes.dtypes
import time:       149 |        149 |                         pandas.core.dtypes.common
import time:       120 |        269 |                       pandas.core.dtypes.missing
import time:        89 |         89 |                         pandas.util._decorators
import time:        50 |         50 |                             pandas.io
import time:        90 |        140 |                           pandas.io._util
import time:       175 |        315 |                         pandas.core.dtypes.cast
import time:       106 |        106 |                           pandas.core.dtypes.astype
import time:        67 |        173 |                         pandas.core.dtypes.concat
import time:        46 |         46 |                           pandas.core.array_algos
import time:        93 |         93 |                             pandas.core.common
import time:        88 |        181 |                           pandas.core.construction
import time:       131 |        357 |                         pandas.core.array_algos.take
import time:        85 |         85 |                           pandas.core.indexers.utils
import time:        54 |        139 |                         pandas.core.indexers
import time:       236 |       1307 |                       pandas.core.algorithms
import time:       144 |        144 |                           pandas.core.arrays.arrow.accessors
import time:        25 |         25 |                             unicodedata
import time:        69 |         69 |                             pandas.util._validators
import time:       157 |        157 |                             pandas.core.missing
import time:      1734 |       1734 |                                 pandas._libs.ops
import time:        60 |         60 |                                 pandas.core.roperator
import time:        48 |         48 |                                 pandas.core.computation
import time:       120 |        120 |                                   pandas.core.computation.check
import time:       156 |        275 |                                 pandas.core.computation.expressions
import time:        54 |         54 |                                 pandas.core.ops.missing
import time:        42 |         42 |                                 pandas.core.ops.dispatch
import time:        42 |         42 |                                 pandas.core.ops.invalid
import time:       165 |       2417 |                               pandas.core.ops.array_ops
import time:        50 |         50 |                               pandas.core.ops.common
import time:        67 |         67 |                               pandas.core.ops.docstrings
import time:        47 |         47 |                               pandas.core.ops.mask_ops
import time:        93 |       2673 |                             pandas.core.ops
import time:       120 |        120 |                             pandas.core.arraylike
import time:        65 |         65 |                             pandas.core.arrays._arrow_string_mixins
import time:        45 |         45 |                             pandas.core.arrays._utils
import time:       127 |        127 |                               pandas.compat.numpy.function
import time:        53 |         53 |                               pandas.core.array_algos.quantile
import time:        89 |         89 |                               pandas.core.sorting
import time:       260 |        527 |                             pandas.core.arrays.base
import time:       278 |        278 |                               pandas.core.nanops
import time:        55 |         55 |                               pandas.core.array_algos.masked_accumulations
import time:        52 |         52 |                               pandas.core.array_algos.masked_reductions
import time:        45 |         45 |                                 pandas.core.util
import time:      1926 |       1926 |                                 pandas._libs.hashing
import time:       101 |       2071 |                               pandas.core.util.hashing
import time:       388 |       2842 |                             pandas.core.arrays.masked
import time:      1691 |       1691 |                               pandas._libs.arrays
import time:       106 |        106 |                                 pandas.core.arrays.numeric
import time:       106 |        212 |                               pandas.core.arrays.floating
import time:       102 |        102 |                               pandas.core.arrays.integer
import time:        59 |         59 |                                   pandas.core.array_algos.transforms
import time:       216 |        274 |                                 pandas.core.arrays._mixins
import time:        55 |         55 |                                   pandas.core.strings
import time:       119 |        119 |                                   pandas.core.strings.base
import time:       188 |        362 |                                 pandas.core.strings.object_array
import time:       158 |        793 |                               pandas.core.arrays.numpy_
import time:       305 |       3101 |                             pandas.core.arrays.string_
import time:        50 |         50 |                               pandas.tseries
import time:       172 |        222 |                             pandas.tseries.frequencies
import time:       497 |      10337 |                           pandas.core.arrays.arrow.array
import time:        82 |      10562 |                         pandas.core.arrays.arrow
import time:       143 |        143 |                         pandas.core.arrays.boolean
import time:        27 |         27 |                             _csv
import time:       159 |        186 |                           csv
import time:       130 |        130 |                           pandas.core.accessor
import time:       282 |        282 |                           pandas.core.base
import time:        55 |         55 |                           pandas.io.formats
import time:        83 |         83 |                           pandas.io.formats.console
import time:       322 |       1055 |                         pandas.core.arrays.categorical
import time:      1867 |       1867 |                           pandas._libs.tslib
import time:        57 |         57 |                             pandas.core.array_algos.datetimelike_accumulations
import time:       543 |        600 |                           pandas.core.arrays.datetimelike
import time:        80 |         80 |                           pandas.core.arrays._ranges
import time:        61 |         61 |                           pandas.tseries.offsets
import time:      1543 |       4149 |                         pandas.core.arrays.datetimes
import time:       211 |        211 |                           pandas.core.arrays.timedeltas
import time:       513 |        723 |                         pandas.core.arrays.interval
import time:       208 |        208 |                         pandas.core.arrays.period
import time:      1698 |       1698 |                               pandas._libs.sparse
import time:       165 |        165 |                               pandas.io.formats.printing
import time:       252 |       2115 |                             pandas.core.arrays.sparse.array
import time:       128 |       2243 |                           pandas.core.arrays.sparse.accessor
import time:        62 |       2304 |                         pandas.core.arrays.sparse
import time:       173 |        173 |                         pandas.core.arrays.string_arrow
import time:       305 |      19619 |                       pandas.core.arrays
import time:        62 |         62 |                       pandas.core.flags
import time:        43 |         43 |                               backports_abc
import time:      1758 |       1801 |                             pandas._libs.internals
import time:        50 |         50 |                               pandas.core._numba
import time:       106 |        156 |                             pandas.core._numba.executor
import time:       276 |       2232 |                           pandas.core.apply
import time:      1814 |       1814 |                                 pandas._libs.indexing
import time:        77 |         77 |                                   pandas.core.indexes
import time:        52 |         52 |                                       backports_abc
import time:      1971 |       2022 |                                     pandas._libs.index
import time:      1700 |       1700 |                                     pandas._libs.writers
import time:      1698 |       1698 |                                     pandas._libs.join
import time:        74 |         74 |                                     pandas.core.array_algos.putmask
import time:        74 |         74 |                                     pandas.core.indexes.frozen
import time:       967 |        967 |                                     pandas.core.strings.accessor
import time:      1156 |       7690 |                                   pandas.core.indexes.base
import time:       113 |        113 |                                     pandas.core.indexes.extension
import time:       212 |        325 |                                   pandas.core.indexes.category
import time:       223 |        223 |                                       pandas.core.indexes.range
import time:        57 |         57 |                                         pandas.core.tools
import time:       119 |        175 |                                       pandas.core.tools.timedeltas
import time:       348 |        746 |                                     pandas.core.indexes.datetimelike
import time:        68 |         68 |                                     pandas.core.tools.times
import time:       541 |       1354 |                                   pandas.core.indexes.datetimes
import time:       555 |        555 |                                     pandas.core.indexes.multi
import time:       109 |        109 |                                     pandas.core.indexes.timedeltas
import time:       423 |       1086 |                                   pandas.core.indexes.interval
import time:       305 |        305 |                                   pandas.core.indexes.period
import time:       165 |      10999 |                                 pandas.core.indexes.api
import time:       665 |      13477 |                               pandas.core.indexing
import time:        60 |         60 |                               pandas.core.sample
import time:        58 |         58 |                               pandas.core.array_algos.replace
import time:       366 |        366 |                                   pandas.core.internals.blocks
import time:        87 |        452 |                                 pandas.core.internals.api
import time:       130 |        130 |                                   pandas.core.internals.base
import time:       184 |        184 |                                     pandas.core.internals.ops
import time:       530 |        713 |                                   pandas.core.internals.managers
import time:       216 |       1059 |                                 pandas.core.internals.array_manager
import time:       103 |        103 |                                 pandas.core.internals.concat
import time:        61 |       1674 |                               pandas.core.internals
import time:       118 |        118 |                               pandas.core.internals.construction
import time:        49 |         49 |                                 pandas.core.methods
import time:        42 |         42 |                                   pandas.core.reshape
import time:       131 |        173 |                                 pandas.core.reshape.concat
import time:       225 |        225 |                                     gzip
import time:        21 |         21 |                                       grp
import time:       679 |        700 |                                     tarfile
import time:        70 |         70 |                                         zipfile._path.glob
import time:       173 |        242 |                                       zipfile._path
import time:       451 |        693 |                                     zipfile
import time:        88 |         88 |                                     pandas.core.shared_docs
import time:       682 |       2386 |                                   pandas.io.common
import time:       368 |       2754 |                                 pandas.io.formats.format
import time:       134 |       3108 |                               pandas.core.methods.describe
import time:        66 |         66 |                                     pandas._libs.window
import time:      2109 |       2174 |                                   pandas._libs.window.aggregations
import time:      1918 |       1918 |                                     pandas._libs.window.indexers
import time:       184 |       2102 |                                   pandas.core.indexers.objects
import time:        70 |         70 |                                   pandas.core.util.numba_
import time:        67 |         67 |                                   pandas.core.window.common
import time:        91 |         91 |                                   pandas.core.window.doc
import time:        71 |         71 |                                   pandas.core.window.numba_
import time:       101 |        101 |                                   pandas.core.window.online
import time:       792 |        792 |                                   pandas.core.window.rolling
import time:       297 |       5763 |                                 pandas.core.window.ewm
import time:       436 |        436 |                                 pandas.core.window.expanding
import time:        75 |       6273 |                               pandas.core.window
import time:      2499 |      27263 |                             pandas.core.generic
import time:        98 |         98 |                             pandas.core.methods.selectn
import time:        48 |         48 |                               pandas.core.reshape.util
import time:        63 |         63 |                               pandas.core.tools.numeric
import time:       123 |        233 |                             pandas.core.reshape.melt
import time:      1935 |       1935 |                               pandas._libs.reshape
import time:       256 |        256 |                               pandas.core.indexes.accessors
import time:        58 |         58 |                                 pandas.arrays
import time:       271 |        328 |                               pandas.core.tools.datetimes
import time:       404 |        404 |                               pandas.io.formats.info
import time:       481 |        481 |                                 pandas.plotting._core
import time:        78 |         78 |                                 pandas.plotting._misc
import time:        64 |        622 |                               pandas.plotting
import time:      1407 |       4950 |                             pandas.core.series
import time:      3265 |      35807 |                           pandas.core.frame
import time:       875 |        875 |                           pandas.core.groupby.base
import time:        50 |         50 |                               backports_abc
import time:      2030 |       2079 |                             pandas._libs.groupby
import time:       419 |        419 |                               pandas.core.groupby.categorical
import time:       211 |        630 |                             pandas.core.groupby.grouper
import time:       267 |       2974 |                           pandas.core.groupby.ops
import time:        66 |         66 |                             pandas.core.groupby.numba_
import time:       135 |        135 |                             pandas.core.groupby.indexing
import time:       823 |       1024 |                           pandas.core.groupby.groupby
import time:       798 |      43707 |                         pandas.core.groupby.generic
import time:        53 |      43760 |                       pandas.core.groupby
import time:        93 |     119074 |                     pandas.core.api
import time:        66 |         66 |                     pandas.tseries.api
import time:        43 |         43 |                             pandas.core.computation.common
import time:        78 |        121 |                           pandas.core.computation.align
import time:        98 |         98 |                             pandas.core.computation.scope
import time:       183 |        280 |                           pandas.core.computation.ops
import time:        88 |        487 |                         pandas.core.computation.engines
import time:        53 |         53 |                           pandas.core.computation.parsing
import time:       401 |        453 |                         pandas.core.computation.expr
import time:        78 |       1018 |                       pandas.core.computation.eval
import time:        54 |       1071 |                     pandas.core.computation.api
import time:        71 |         71 |                       pandas.core.reshape.encoding
import time:       335 |        335 |                       pandas.core.reshape.merge
import time:       302 |        302 |                       pandas.core.reshape.pivot
import time:        81 |         81 |                       pandas.core.reshape.tile
import time:        65 |        852 |                     pandas.core.reshape.api
import time:        92 |         92 |                       pandas.api.extensions
import time:        50 |         50 |                       pandas.api.indexers
import time:        50 |         50 |                           pandas.core.interchange
import time:       314 |        363 |                         pandas.core.interchange.dataframe_protocol
import time:       113 |        113 |                           pandas.core.interchange.utils
import time:        99 |        211 |                         pandas.core.interchange.from_dataframe
import time:        48 |        621 |                       pandas.api.interchange
import time:        47 |         47 |                         pandas.core.dtypes.api
