import time: self [us] | cumulative | imported package
import time:       105 |        105 |                     numpy._typing._shape
import time:      2117 |       2117 |                     numpy._typing._dtype_like
import time:      1309 |       1309 |                     numpy._typing._array_like
import time:       494 |       5414 |                   numpy._typing
import time:      2770 |      12164 |                 numpy.linalg.linalg
import time:       275 |      12439 |               numpy.linalg
import time:       416 |      12854 |             numpy.matrixlib.defmatrix
import time:       298 |      13152 |           numpy.matrixlib
import time:       274 |        274 |             numpy.lib.histograms
import time:      1145 |       1418 |           numpy.lib.function_base
import time:       437 |      15005 |         numpy.lib.index_tricks
import time:       333 |        333 |         numpy.lib.nanfunctions
import time:       293 |        293 |         numpy.lib.shape_base
import time:       467 |        467 |         numpy.lib.polynomial
import time:       439 |        439 |         numpy.lib.utils
import time:       275 |        275 |         numpy.lib.arraysetops
import time:       258 |        258 |           numpy.lib.format
import time:       235 |        235 |           numpy.lib._datasource
import time:       181 |        181 |           numpy.lib._iotools
import time:       508 |       1180 |         numpy.lib.npyio
import time:        74 |         74 |         numpy.lib.arrayterator
import time:        94 |         94 |         numpy.lib.arraypad
import time:        57 |         57 |         numpy.lib._version
import time:       333 |      18964 |       numpy.lib
import time:       332 |        332 |           numpy.fft._pocketfft_internal
import time:       167 |        499 |         numpy.fft._pocketfft
import time:        62 |         62 |         numpy.fft.helper
import time:        70 |        630 |       numpy.fft
import time:        95 |         95 |           numpy.polynomial.polyutils
import time:       136 |        136 |           numpy.polynomial._polybase
import time:       232 |        462 |         numpy.polynomial.polynomial
import time:       152 |        152 |         numpy.polynomial.chebyshev
import time:       100 |        100 |         numpy.polynomial.legendre
import time:        94 |         94 |         numpy.polynomial.hermite
import time:        90 |         90 |         numpy.polynomial.hermite_e
import time:        87 |         87 |         numpy.polynomial.laguerre
import time:        76 |       1058 |       numpy.polynomial
import time:        43 |         43 |                 backports_abc
import time:       477 |        519 |               numpy.random._common
import time:        31 |         31 |                   binascii
import time:       116 |        147 |                 base64
import time:       648 |        648 |                   _hashlib
import time:        17 |         17 |                     _blake2
import time:       102 |        119 |                   hashlib
import time:        97 |        863 |                 hmac
import time:        76 |       1085 |               secrets
import time:       433 |       2037 |             numpy.random.bit_generator
import time:       347 |        347 |             numpy.random._bounded_integers
import time:       515 |        515 |             numpy.random._mt19937
import time:       849 |       3746 |           numpy.random.mtrand
import time:      1965 |       1965 |           numpy.random._philox
import time:       865 |        865 |           numpy.random._pcg64
import time:      8222 |       8222 |           numpy.random._sfc64
import time:      1516 |       1516 |           numpy.random._generator
import time:       223 |      16534 |         numpy.random._pickle
import time:       116 |      16650 |       numpy.random
import time:       422 |        422 |       numpy.ctypeslib
import time:      2087 |       2087 |         numpy.ma.core
import time:       744 |        744 |         numpy.ma.extras
import time:       218 |       3048 |       numpy.ma
import time:      1445 |      54740 |     numpy
import time:       247 |        247 |     sklearn.exceptions
import time:        37 |         37 |                 _multiprocessing
import time:       611 |        611 |                       signal
import time:       310 |        921 |                     multiprocessing.process
import time:       467 |        467 |                         _socket
import time:        75 |         75 |                           select
import time:       754 |        829 |                         selectors
import time:        84 |         84 |                         array
import time:      2503 |       3882 |                       socket
import time:       309 |       4190 |                     multiprocessing.reduction
