experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision
A_author_cleaned_code_grid,KNN,0,271,68,0.00015962500037858263,0.00044187500043335604,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.8970588235294118,0.8975588491717523,0.9166666666666666,0.8918918918918919,0.9032258064516129,0.9041095890410958,0.7933903061263571,0.9319965126416739,0.9158284802247652,28,3,4,33,0.875,0.9032258064516129
A_author_cleaned_code_grid,KNN,1,271,68,0.0001625419999982114,0.000608665999607183,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.9558823529411765,0.9568439407149085,0.9375,0.967741935483871,0.9459459459459459,0.9523809523809523,0.9117028956364279,0.9973844812554491,0.9970043830605746,35,2,1,30,0.9722222222222222,0.9459459459459459
A_author_cleaned_code_grid,KNN,2,271,68,0.00017008400027407333,0.0004625000001396984,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.8970588235294118,0.8903508771929824,0.9259259259259259,0.8333333333333334,0.9473684210526315,0.8771929824561403,0.7922527777036448,0.9263157894736842,0.923109243697479,36,2,5,25,0.8780487804878049,0.9473684210526315
A_author_cleaned_code_grid,KNN,3,271,68,0.00015262499982782174,0.0004467090002435725,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.9411764705882353,0.9411764705882353,0.9166666666666666,0.9705882352941176,0.9117647058823529,0.9428571428571428,0.8838834764831844,0.9511245674740485,0.9249537515540975,31,3,1,33,0.96875,0.9117647058823529
A_author_cleaned_code_grid,KNN,4,271,68,0.0001698339992799447,0.00045354199937719386,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.9264705882352942,0.9264705882352942,0.9393939393939394,0.9117647058823529,0.9411764705882353,0.9253731343283582,0.8533103351879247,0.9467993079584776,0.9173476407163347,32,2,3,31,0.9142857142857143,0.9411764705882353
A_author_cleaned_code_grid,KNN,5,271,68,0.00016108400086523034,0.000526916999660898,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.8823529411764706,0.8823529411764706,0.8611111111111112,0.9117647058823529,0.8529411764705882,0.8857142857142857,0.7660323462854265,0.9506920415224913,0.9182756293646916,29,5,3,31,0.90625,0.8529411764705882
A_author_cleaned_code_grid,KNN,6,271,68,0.0001615409992155037,0.0005601660004685982,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.9264705882352942,0.9268398268398268,0.9117647058823529,0.9393939393939394,0.9142857142857143,0.9253731343283582,0.8533103351879247,0.948917748917749,0.9366130180625862,32,3,2,31,0.9411764705882353,0.9142857142857143
A_author_cleaned_code_grid,KNN,7,271,68,0.00015587500001856824,0.0005654169999615988,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.8088235294117647,0.8090909090909091,0.7941176470588235,0.8181818181818182,0.8,0.8059701492537313,0.6179143806533247,0.8948051948051948,0.875295426058744,28,7,6,27,0.8235294117647058,0.8
A_author_cleaned_code_grid,KNN,8,271,68,0.00022437500047089998,0.0005576659996222588,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.8970588235294118,0.8973684210526316,0.8709677419354839,0.9,0.8947368421052632,0.8852459016393442,0.7923080401387449,0.930701754385965,0.8760202088498235,34,4,3,27,0.918918918918919,0.8947368421052632
A_author_cleaned_code_grid,KNN,9,271,68,0.0001635409998925752,0.0008797079999567359,none,"{""algorithm"": ""auto"", ""leaf_size"": 10, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": -1, ""n_neighbors"": 2, ""p"": 2, ""weights"": ""distance""}",0.9117647058823529,0.9098143236074271,0.9230769230769231,0.9230769230769231,0.896551724137931,0.9230769230769231,0.8196286472148541,0.9310344827586207,0.9217374579754705,26,3,3,36,0.896551724137931,0.896551724137931
