mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.03701481819152832,0.006434491208253399,0.012827134132385254,0.0009530220033021852,1,log2,80,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 80}",0.8571428571428571,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8148148148148148,0.8888888888888888,0.9629629629629629,0.8148148148148148,0.8820105820105821,0.04594652452987192,61
0.05972111225128174,0.004212534336070003,0.013234972953796387,0.0002136254483432835,1,log2,160,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 160}",0.8571428571428571,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8518518518518519,0.8857142857142856,0.025286355863171475,60
0.11379458904266357,0.00588096209338763,0.01268465518951416,0.0007016809386867518,1,log2,320,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 320}",0.8214285714285714,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8784391534391534,0.03212107607874696,63
0.1755046844482422,0.007421488312758879,0.0130462646484375,0.0005634671026334032,1,log2,480,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 480}",0.8214285714285714,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.7777777777777778,0.859920634920635,0.03919653891214648,70
0.22523562908172606,0.004481847985548382,0.022405314445495605,0.004602315721618021,1,log2,640,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 640}",0.8571428571428571,0.9259259259259259,0.9259259259259259,0.8148148148148148,0.8888888888888888,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.8148148148148148,0.8708994708994708,0.04440663546742285,67
0.44785871505737307,0.01095928536853886,0.03595068454742432,0.003608054474570991,1,log2,1280,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 1280}",0.8214285714285714,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8673280423280424,0.036904761904761905,68
0.7134644269943238,0.015188450276630853,0.05156974792480469,0.0073066757675846646,1,log2,2000,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 2000}",0.8214285714285714,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8636243386243386,0.03641027693997717,69
0.03650071620941162,0.005494448060824911,0.012582874298095703,0.0008008649014539012,1,sqrt,80,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 80}",0.8571428571428571,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.9629629629629629,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8746031746031745,0.037491542302765864,66
0.06546959877014161,0.00574291591757501,0.012870550155639648,0.0006447919283772343,1,sqrt,160,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 160}",0.8571428571428571,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.8518518518518519,0.9259259259259259,0.8518518518518519,0.8888888888888888,0.8894179894179894,0.0401175451582378,57
0.1243436098098755,0.006855566734366396,0.012698650360107422,0.0008907318242867446,1,sqrt,320,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 320}",0.8571428571428571,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.9259259259259259,0.893121693121693,0.030098333657836818,53
