mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0032753229141235353,0.0001383787697535347,0.0005173444747924805,9.766309789121116e-05,0.001,1,linear,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'linear', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.0034050941467285156,0.00020169450867280346,0.0005204916000366211,0.0001142649713643005,0.001,1,poly,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.003612375259399414,0.00012729155211255646,0.0008741617202758789,8.363003642683319e-05,0.001,1,rbf,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'rbf', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.003658103942871094,0.00011192302640457799,0.000527644157409668,9.330817754644865e-05,0.001,1,sigmoid,1e-05,"{'C': 0.001, 'degree': 1, 'kernel': 'sigmoid', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.003364229202270508,0.00020204947594619545,0.00045404434204101565,3.294220111839323e-05,0.001,3,linear,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'linear', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.0035792112350463865,0.00016114411927656614,0.0004782676696777344,4.11652996712898e-05,0.001,3,poly,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'poly', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.0036994457244873048,7.715670215613364e-05,0.0009879112243652345,0.0002037316598891305,0.001,3,rbf,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'rbf', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.0038821935653686524,0.0002059967553492237,0.0005568265914916992,0.0001090701940412621,0.001,3,sigmoid,1e-05,"{'C': 0.001, 'degree': 3, 'kernel': 'sigmoid', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.0034143209457397463,0.00015758562891612444,0.0004611492156982422,2.8910806385784863e-05,0.001,5,linear,1e-05,"{'C': 0.001, 'degree': 5, 'kernel': 'linear', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
0.0036771297454833984,0.00028905335996901976,0.0005308151245117188,8.47500215382384e-05,0.001,5,poly,1e-05,"{'C': 0.001, 'degree': 5, 'kernel': 'poly', 'tol': 1e-05}",0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5213054187192118,0.015597668650939853,200
